title,description,severity
[PostgreSQL] Changing the status of a bug from UNCO to ASSIGNED sets everconfirmed to 1 but leave the status as UNCONFIRMED,[PostgreSQL] Changing the status of a bug from UNCO to ASSIGNED sets everconfirmed to 1 but leave the status as UNCONFIRMED,Medium
"When 'shutdownhtml' is set, accessing foo.cgi?format=bar displays plain text instead of html","When 'shutdownhtml' is set, accessing foo.cgi?format=bar displays plain text instead of html",Medium
"Wrong colspan for ""summarize time"" link below time tracking bar on show_bug.cgi","Wrong colspan for ""summarize time"" link below time tracking bar on show_bug.cgi",Low
Release Notes for Bugzilla 2.22rc1,Release Notes for Bugzilla 2.22rc1,Critical
The login form on the Bugzilla home page may redirect your login and password to another site,The login form on the Bugzilla home page may redirect your login and password to another site,High
"Remove duplicate ""the the"" from using.xml","Remove duplicate ""the the"" from using.xml",Medium
"Setting ""loginnetmask"" to 0 does not disable IP checking","Setting ""loginnetmask"" to 0 does not disable IP checking",Medium
Missing space in attachment size error,Missing space in attachment size error,Medium
Email preferences are not set correctly when the user account is created by Env.pm,Email preferences are not set correctly when the user account is created by Env.pm,Medium
Env.pm plugin doesn't create new user accounts correctly in Postgres,Env.pm plugin doesn't create new user accounts correctly in Postgres,Medium
Templates should not check for flag.setter; it is always known,Templates should not check for flag.setter; it is always known,Low
Upgrading to 2.23 on PostgreSQL generates an error,Upgrading to 2.23 on PostgreSQL generates an error,Medium
editusers.cgi does not work because it has a Byte Order Mark at the beginning,editusers.cgi does not work because it has a Byte Order Mark at the beginning,Critical
Unable to login on a fresh Bugzilla install,Unable to login on a fresh Bugzilla install,Critical
Software error when editing the 'docs_urlbase' parameter,Software error when editing the 'docs_urlbase' parameter,High
https://bugzilla.org/ results in the Syndicomm site,https://bugzilla.org/ results in the Syndicomm site,Medium
Fix spelling: 'visitng' -> 'visiting',Fix spelling: 'visitng' -> 'visiting',Low
"dependency tree images missing from #251656 ""","dependency tree images missing from #251656 """,Low
whining fails on mysql 4.0 due to date addition,whining fails on mysql 4.0 due to date addition,Medium
Cannot update a product if 'usetargetmilestone' is off (and the default milestone has been previously changed),Cannot update a product if 'usetargetmilestone' is off (and the default milestone has been previously changed),Medium
Classifications are currently undocumented,Classifications are currently undocumented,Medium
Group.html should be groups.html in documentation links,Group.html should be groups.html in documentation links,Medium
Additional Comments field columns are constant at 80 cols,Additional Comments field columns are constant at 80 cols,Low
No 'settings' template case in generic auth code,No 'settings' template case in generic auth code,Medium
Bugzilla fails when there are no keywords,Bugzilla fails when there are no keywords,Critical
008filter fails if . is not in PATH,008filter fails if . is not in PATH,Medium
sidebar.xul.tmpl has a bad header,sidebar.xul.tmpl has a bad header,Medium
SQL crash in request.cgi when the status field is used,SQL crash in request.cgi when the status field is used,Medium
"Boolean charts do not find ""bugs which are NOT in some given group"" correctly","Boolean charts do not find ""bugs which are NOT in some given group"" correctly",Medium
Some browsers might not pick up comment upon new attachment,Some browsers might not pick up comment upon new attachment,Medium
"When a group cannot be deleted because it is in used, ThrowUserError() should be called","When a group cannot be deleted because it is in used, ThrowUserError() should be called",Low
User::match_field() may redirect you outside your Bugzilla installation,User::match_field() may redirect you outside your Bugzilla installation,Medium
Crash when changing the status of a bug which has dependencies,Crash when changing the status of a bug which has dependencies,Critical
Whine mails lack the trailing MIME boundary,Whine mails lack the trailing MIME boundary,Medium
"""its"" is wrong in comment","""its"" is wrong in comment",Medium
Remove unused IsInClassification() function from globals.pl,Remove unused IsInClassification() function from globals.pl,Low
missing newline in Search.pm,missing newline in Search.pm,Low
alias_is_numeric uses 'another' which to me implies a real one was given/accepted,alias_is_numeric uses 'another' which to me implies a real one was given/accepted,Medium
component_not_valid could be improved,component_not_valid could be improved,Medium
"auth_failure uses ""put people in or out""","auth_failure uses ""put people in or out""",Medium
"Fix sudo_in_progress to not say ""an sudo""","Fix sudo_in_progress to not say ""an sudo""",Low
login_required_for_pronoun doesn't make sense,login_required_for_pronoun doesn't make sense,Low
"Incorrect English in ""You can't make [% terms.abug %] blocked or dependent on itself.""","Incorrect English in ""You can't make [% terms.abug %] blocked or dependent on itself.""",Medium
Add 'extensions' to .cvsignore,Add 'extensions' to .cvsignore,Low
Incorrect output when updating components,Incorrect output when updating components,Medium
"""Cancelled Because:"" needs a space after "":""","""Cancelled Because:"" needs a space after "":""",Medium
Bad alignment of ) for Alias,Bad alignment of ) for Alias,Low
twice SQLQuote in Bugzilla::flag::modify,twice SQLQuote in Bugzilla::flag::modify,Medium
Missing SET in admin/table.html.tmpl,Missing SET in admin/table.html.tmpl,Medium
Wrong parameters passed to sudo sessions when trying to bypass validation checks,Wrong parameters passed to sudo sessions when trying to bypass validation checks,Medium
Style the group table as all other tables in Bugzilla,Style the group table as all other tables in Bugzilla,Medium
Cannot post a bug with keywords in it,Cannot post a bug with keywords in it,Critical
Steps to Reproduce default content has an extra linebreak,Steps to Reproduce default content has an extra linebreak,Low
Already marked as duplicate - This bug has already been marked as a duplicate of bug 328615.,Already marked as duplicate - This bug has already been marked as a duplicate of bug 328615.,Medium
Uninitialized value when entering a new bug with no alias given,Uninitialized value when entering a new bug with no alias given,Low
contrariety example in search-help,contrariety example in search-help,Low
Bugzilla::DB::Pg can't alter a column to be SERIAL,Bugzilla::DB::Pg can't alter a column to be SERIAL,Medium
extra </a> in sudo_password_required message,extra </a> in sudo_password_required message,Low
process_bug.cgi is broken when changing several bugs at once,process_bug.cgi is broken when changing several bugs at once,Critical
012throwables.t broken on Windows,012throwables.t broken on Windows,Medium
importxml.pl crashes when importing bugs having attachments from versions 2.20 or older,importxml.pl crashes when importing bugs having attachments from versions 2.20 or older,High
"When calling importxml.pl with the -v option, information is displayed too many times","When calling importxml.pl with the -v option, information is displayed too many times",Medium
Release Notes for 2.20.2,Release Notes for 2.20.2,Critical
Release Notes for 2.22,Release Notes for 2.22,Critical
"Status Update for Bugzilla 2.20.2, 2.22, and 2.23.1","Status Update for Bugzilla 2.20.2, 2.22, and 2.23.1",Critical
"Update ""Download"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1","Update ""Download"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1",Critical
"Update ""Changes"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1","Update ""Changes"" Page for Bugzilla 2.20.2, 2.22, and 2.23.1",Critical
"Update ""Release Info"" page for Bugzilla 2.20.2, 2.22, and 2.23.1","Update ""Release Info"" page for Bugzilla 2.20.2, 2.22, and 2.23.1",Critical
Update New Features page for Bugzilla 2.22,Update New Features page for Bugzilla 2.22,Critical
"Release/News Announcement for Bugzilla 2.20.2, 2.22, and 2.23.1","Release/News Announcement for Bugzilla 2.20.2, 2.22, and 2.23.1",Critical
"Release Bugzilla 2.20.2, 2.22, and 2.23.1","Release Bugzilla 2.20.2, 2.22, and 2.23.1",Critical
"potgresql : varchar(64), value is to small or not the same as mysql","potgresql : varchar(64), value is to small or not the same as mysql",Medium
"Docs still refer to ""loginmethod""","Docs still refer to ""loginmethod""",Medium
Remove documentation specific to MySQL 3.x,Remove documentation specific to MySQL 3.x,Medium
Provide editbugs as default timetrackinggroup value,Provide editbugs as default timetrackinggroup value,Low
Users with no privs cannot edit bugs anymore (if being logged out first),Users with no privs cannot edit bugs anymore (if being logged out first),Critical
Missing whitespaces in the 'fieldvalue_still_has_bugs' error message,Missing whitespaces in the 'fieldvalue_still_has_bugs' error message,Low
t/012throwables.t shouldn't fail due to unused error tags in code/user-error.html.tmpl,t/012throwables.t shouldn't fail due to unused error tags in code/user-error.html.tmpl,Medium
"LDAP user login failure: Can't locate object method ""realname"" via package ""Bugzilla::User""","LDAP user login failure: Can't locate object method ""realname"" via package ""Bugzilla::User""",High
"When trying to impersonate someone, the UI displays the password field when using the ENV method (with user_info_class=""Env,CGI"")","When trying to impersonate someone, the UI displays the password field when using the ENV method (with user_info_class=""Env,CGI"")",High
"The user prefs tab let you change the password and email address of a user being impersonated when using the ENV method (with user_info_class=""Env,CGI"")","The user prefs tab let you change the password and email address of a user being impersonated when using the ENV method (with user_info_class=""Env,CGI"")",High
ldap_search_error AUTH_ERROR code is not defined,ldap_search_error AUTH_ERROR code is not defined,Medium
Typo at bottom; 'myslqd' should be 'mysqld',Typo at bottom; 'myslqd' should be 'mysqld',Low
012throwables.t doesn't recognize that certain errors are AUTH_ERROR codes,012throwables.t doesn't recognize that certain errors are AUTH_ERROR codes,Medium
config.cgi fails with an SQL error in Bugzilla::Keyword with no keywords defined,config.cgi fails with an SQL error in Bugzilla::Keyword with no keywords defined,Medium
Bugzilla::BugMail calls Param() outside of any function,Bugzilla::BugMail calls Param() outside of any function,Medium
"2.20 doesn't have ""After changing bugs"" and ""Add individual bugs to saved searches""","2.20 doesn't have ""After changing bugs"" and ""Add individual bugs to saved searches""",Low
Sendmail complains about a possible attack because there's a newline in the email address,Sendmail complains about a possible attack because there's a newline in the email address,Low
create-series Error: 'options' is null or not an object.,create-series Error: 'options' is null or not an object.,High
editgroups.cgi should make sure groups it edits/removes are not used by editparams.cgi,editgroups.cgi should make sure groups it edits/removes are not used by editparams.cgi,Medium
bugzilla lied to me  The product Derivatives does not exist or you don't have access to it. The following is a list of the products you can choose from.,bugzilla lied to me  The product Derivatives does not exist or you don't have access to it. The following is a list of the products you can choose from.,Medium
Auth throws an insecure dependency error because username is tainted,Auth throws an insecure dependency error because username is tainted,High
Remove useless module dependencies in Bugzilla::Auth::*,Remove useless module dependencies in Bugzilla::Auth::*,Medium
B8 and B9 don't have consistent URLs due to lack of section id,B8 and B9 don't have consistent URLs due to lack of section id,Low
Flag::FormToNewFlags() uses incorrect data,Flag::FormToNewFlags() uses incorrect data,Medium
Move Bugzilla::Auth::get_netaddr() in Util.pm,Move Bugzilla::Auth::get_netaddr() in Util.pm,Medium
.cgi scripts should call Throw*Error() instead of die(),.cgi scripts should call Throw*Error() instead of die(),Low
"When adding a new attachment, data inserted in the bugs_activity are quoted","When adding a new attachment, data inserted in the bugs_activity are quoted",Medium
Windows instructions for installing XML::Twig are wrong,Windows instructions for installing XML::Twig are wrong,Medium
Newsgroup links in the documentation need updating,Newsgroup links in the documentation need updating,Medium
process_bug.cgi fails when changing several bugs at once if all bugs are in the same product,process_bug.cgi fails when changing several bugs at once if all bugs are in the same product,Critical
"Remove B4 from 2.20, 2.22 and trunk docs as we require 5.6.1 already","Remove B4 from 2.20, 2.22 and trunk docs as we require 5.6.1 already",Medium
localconfig generated by checksetup.pl contains an extra '\',localconfig generated by checksetup.pl contains an extra '\',Low
"Fix still_unresolved_bugs to not say ""has still""","Fix still_unresolved_bugs to not say ""has still""",Low
query.cgi#chart doesn't work anymore,query.cgi#chart doesn't work anymore,Low
Attachment data not deleted when deleting a component,Attachment data not deleted when deleting a component,Medium
DB::Mysql has old code for MySQL 3.x,DB::Mysql has old code for MySQL 3.x,Low
Update Win32 installation instructions for Bugzilla 2.22,Update Win32 installation instructions for Bugzilla 2.22,Medium
We no longer have passwords in clear text,We no longer have passwords in clear text,Medium
page.cgi?id=fields.html still contains obsolete values for Platform and OS,page.cgi?id=fields.html still contains obsolete values for Platform and OS,Medium
Bugzilla::Series looks for functions in global scope that are not global functions,Bugzilla::Series looks for functions in global scope that are not global functions,Medium
Bugzilla/Search/Quicksearch.pm shouldn't use Bugzilla.pm,Bugzilla/Search/Quicksearch.pm shouldn't use Bugzilla.pm,Low
Collectstats --regenerate fails,Collectstats --regenerate fails,Medium
'Edit Attachment As Comment' converts plain text to HTML entities,'Edit Attachment As Comment' converts plain text to HTML entities,Medium
Add back the bugzilla version,Add back the bugzilla version,Medium
checksetup fails if database exists with non-Bugzilla table,checksetup fails if database exists with non-Bugzilla table,Medium
"'changer' in editproducts.cgi must be a user login, not a user ID","'changer' in editproducts.cgi must be a user login, not a user ID",High
Quicksearch.pm defined $cgi outside routines,Quicksearch.pm defined $cgi outside routines,High
checksetup fails if no database exists,checksetup fails if no database exists,Critical
testserver.pl requires $::ENV{'PATH'} to be defined,testserver.pl requires $::ENV{'PATH'} to be defined,Medium
"When using QuickSearch to find something in All products, the footer is bogus","When using QuickSearch to find something in All products, the footer is bogus",Medium
"Various modules assume functions are in global scope, when none are","Various modules assume functions are in global scope, when none are",Medium
Undefined subroutine in showdependencytree.cgi in latest CVS,Undefined subroutine in showdependencytree.cgi in latest CVS,Medium
"checksetup.pl ""answers"" file seems to be broken","checksetup.pl ""answers"" file seems to be broken",High
Bugzilla.pm caches data in global variables,Bugzilla.pm caches data in global variables,Medium
Remove usage of Config qw(:locations) in favor of Constants::bz_locations(),Remove usage of Config qw(:locations) in favor of Constants::bz_locations(),Medium
checksetup.pl HASH reference error with 2.18.5 to 2.20.2/2.22 upgrade,checksetup.pl HASH reference error with 2.18.5 to 2.20.2/2.22 upgrade,Critical
$template->process leaks 512K of RAM per call under mod_perl,$template->process leaks 512K of RAM per call under mod_perl,High
SQL query to get all keywords with bug count is duplicated in editkeywords.cgi and describekeywords.cgi,SQL query to get all keywords with bug count is duplicated in editkeywords.cgi and describekeywords.cgi,Medium
Update notification not working without direct HTTP access,Update notification not working without direct HTTP access,Medium
Changing Multiple Bugs is broken on the tip,Changing Multiple Bugs is broken on the tip,Critical
"keyword cache is not sorted alphabetically, makes sorting by keyword inconsistent","keyword cache is not sorted alphabetically, makes sorting by keyword inconsistent",Medium
process_bug.cgi calls certain constants as global subroutines,process_bug.cgi calls certain constants as global subroutines,Medium
post_bug.cgi lets users with editbugs and canconfirm privs enter bugs as UNCONFIRMED even when votes_to_confirm is 0,post_bug.cgi lets users with editbugs and canconfirm privs enter bugs as UNCONFIRMED even when votes_to_confirm is 0,Low
Runtests test 004 fails on some systems with a complaint about RELATIVE,Runtests test 004 fails on some systems with a complaint about RELATIVE,High
Cannot upgrade from any version before 2.17.1.,Cannot upgrade from any version before 2.17.1.,Critical
die_with_dignity is useless inside of Bugzilla::CGI,die_with_dignity is useless inside of Bugzilla::CGI,Medium
The login form appears twice when trying to add an attachment,The login form appears twice when trying to add an attachment,Medium
votes.cgi: Reference found where even-sized list expected,votes.cgi: Reference found where even-sized list expected,Low
"editflagtypes.cgi: Argument """" isn't numeric in numeric gt (>) at template/en/default/request/email.txt.tmpl line 155.","editflagtypes.cgi: Argument """" isn't numeric in numeric gt (>) at template/en/default/request/email.txt.tmpl line 155.",Low
change its to it's or its not to it isn't or something,change its to it's or its not to it isn't or something,Low
There is a dependency loop between Bugzilla::User and Bugzilla::Component,There is a dependency loop between Bugzilla::User and Bugzilla::Component,Medium
"Update ""Download"" Page for 2.23.2","Update ""Download"" Page for 2.23.2",Medium
Status update for 2.23.2,Status update for 2.23.2,Medium
"Update ""Changes"" Page for 2.23.2","Update ""Changes"" Page for 2.23.2",Critical
Release/News Announcement for 2.23.2,Release/News Announcement for 2.23.2,Critical
Release Bugzilla 2.23.2,Release Bugzilla 2.23.2,Critical
Update bugzilla-update.xml,Update bugzilla-update.xml,Critical
"searching results in ""YOUR BROWSER DOESN'T SUPPORT THIS SERVER-PUSH TECHNOLOGY"" warning on brower that does under mod_perl","searching results in ""YOUR BROWSER DOESN'T SUPPORT THIS SERVER-PUSH TECHNOLOGY"" warning on brower that does under mod_perl",Medium
Error upgrading Bugzilla to version 2.23.2+,Error upgrading Bugzilla to version 2.23.2+,Critical
hidden submit button should have display: none,hidden submit button should have display: none,Low
workaround for importxml.pl performance problem,workaround for importxml.pl performance problem,Medium
Cannot create new bugs,Cannot create new bugs,Critical
editparams.cgi doesn't let me clear a group in editparams.cgi,editparams.cgi doesn't let me clear a group in editparams.cgi,Critical
Users watching you: None,Users watching you: None,Medium
"Documentation still thinks we need XML::Parser, but we now need XML::Twig","Documentation still thinks we need XML::Parser, but we now need XML::Twig",Medium
Cannot upgrade my PostgreSQL installation anymore,Cannot upgrade my PostgreSQL installation anymore,Critical
Update Documentation version for 2.23.2 on URL,Update Documentation version for 2.23.2 on URL,Medium
Non-installed modules are reported incorrectly,Non-installed modules are reported incorrectly,High
$field_descs values in field_descs.none.html are overwritten by values from the DB,$field_descs values in field_descs.none.html are overwritten by values from the DB,Low
Tainted value in request.cgi when restricting the search to a given flag,Tainted value in request.cgi when restricting the search to a given flag,High
$silent does not work properly in checksetup.pl anymore,$silent does not work properly in checksetup.pl anymore,High
Bug template creation window has silly title,Bug template creation window has silly title,Low
Cannot add any new field in editvalues.cgi,Cannot add any new field in editvalues.cgi,Critical
"The word ""Bug"" appears bare in editparams.cgi","The word ""Bug"" appears bare in editparams.cgi",Medium
Extremly slow performance with a lot of products (~1800) and security groups for each,Extremly slow performance with a lot of products (~1800) and security groups for each,Medium
Require DBI 1.41+ for DBD::Pg 1.45,Require DBI 1.41+ for DBD::Pg 1.45,Low
Charts are broken using mod_perl,Charts are broken using mod_perl,High
Prevent Flag::clear from deleting a deleted flag when checking the inclusion and exclusion lists,Prevent Flag::clear from deleting a deleted flag when checking the inclusion and exclusion lists,Medium
Guided doesn't seem to let me specify a component as part of the url,Guided doesn't seem to let me specify a component as part of the url,Medium
request.cgi should look at flags.modification_date instead of flags.creation_date,request.cgi should look at flags.modification_date instead of flags.creation_date,Low
Template-Toolkit 2.15 moved Template::Plugin::GD into a separate package,Template-Toolkit 2.15 moved Template::Plugin::GD into a separate package,High
The 'quicksearch' field in the footer redirects to http:// even when sslbase is in use,The 'quicksearch' field in the footer redirects to http:// even when sslbase is in use,Medium
order not properly validated,order not properly validated,Critical
file_too_large error should mention AttachURL when enabled,file_too_large error should mention AttachURL when enabled,Low
attribute parameter 'mschumann@inconso.de' is not a hash ref at Bugzilla/Auth/Verify.pm line 112,attribute parameter 'mschumann@inconso.de' is not a hash ref at Bugzilla/Auth/Verify.pm line 112,Medium
"When Template::Plugin::GD is missing, checksetup.pl tells you to type ""ppm install Template"" instead of ""ppm install Template-Toolkit""","When Template::Plugin::GD is missing, checksetup.pl tells you to type ""ppm install Template"" instead of ""ppm install Template-Toolkit""",Medium
checksetup.pl can create two database connections instead of one,checksetup.pl can create two database connections instead of one,Medium
Update makedocs.pl for the mod_perl version,Update makedocs.pl for the mod_perl version,Medium
Avoid using the string 'the web',Avoid using the string 'the web',Medium
"No header field ""MIME-Version: 1.0"" in e-mails, encoded as Quoted-Printable.","No header field ""MIME-Version: 1.0"" in e-mails, encoded as Quoted-Printable.",Medium
User matching not called for requestee fields in post_bug.cgi,User matching not called for requestee fields in post_bug.cgi,Medium
Deleting a user account crashes Bugzilla,Deleting a user account crashes Bugzilla,Critical
Incorrect field name in FlagType.pm,Incorrect field name in FlagType.pm,Low
Entering an non-integer sortkey crashes editclassifications.cgi,Entering an non-integer sortkey crashes editclassifications.cgi,Medium
Fix usage of HTML header tags in template/en/default/global/header.html.tmpl,Fix usage of HTML header tags in template/en/default/global/header.html.tmpl,Medium
search the Documentation function broken -> Internal Server Error,search the Documentation function broken -> Internal Server Error,Medium
Intel Mac should be detected as Hardware: PC rather than Hardware: Mac,Intel Mac should be detected as Hardware: PC rather than Hardware: Mac,Medium
Params can't be updated when webservergroup is empty,Params can't be updated when webservergroup is empty,Critical
[PostgreSQL] Cannot create a new bug object when custom fields exist,[PostgreSQL] Cannot create a new bug object when custom fields exist,Critical
Cannot set Bugzilla->batch(0),Cannot set Bugzilla->batch(0),Medium
Deleting a user account displays incoherent comments,Deleting a user account displays incoherent comments,Medium
"turn off server push when X-Moz header set to ""microsummary""","turn off server push when X-Moz header set to ""microsummary""",Medium
"win32install.html: Collectstats is mentioned to run with -T, but shouldn't","win32install.html: Collectstats is mentioned to run with -T, but shouldn't",Medium
"An arrayref is always ""true""","An arrayref is always ""true""",Low
votes.cgi fails with a taint error,votes.cgi fails with a taint error,High
"Editing keywords results in a ""Software Error""","Editing keywords results in a ""Software Error""",Medium
Duplicated IDs on all pages,Duplicated IDs on all pages,Low
enter_bug.cgi doesn't pass HTML validation,enter_bug.cgi doesn't pass HTML validation,Low
"Attachment links in comments still say ""edit"" instead of ""details.""","Attachment links in comments still say ""edit"" instead of ""details.""",Medium
skins/custom/*.css not created,skins/custom/*.css not created,Medium
Find a Specific Bug for Closed bugs returns NO ROWS,Find a Specific Bug for Closed bugs returns NO ROWS,Critical
votes page doesn't tell me why a bug is crossed out,votes page doesn't tell me why a bug is crossed out,Medium
make show_bug valid,make show_bug valid,Low
process_bug.cgi tries to send emails to too many bugs,process_bug.cgi tries to send emails to too many bugs,Low
001compile.t must not compile mod_perl.pl,001compile.t must not compile mod_perl.pl,Medium
Display custom fields on show_bug.cgi before the time table,Display custom fields on show_bug.cgi before the time table,Low
OS becomes Other when use windows98,OS becomes Other when use windows98,Medium
User preference to add/remove individual bugs to saved searches should default to off,User preference to add/remove individual bugs to saved searches should default to off,Medium
DB::bz_add_column() shouldn't print anything when called from editfields.cgi,DB::bz_add_column() shouldn't print anything when called from editfields.cgi,Medium
Display a message when a custom field has been successfully created,Display a message when a custom field has been successfully created,Low
Bugzilla::AUTOLOAD tries to find Bugzilla::Bug::confess() when a bug method doesn't exist,Bugzilla::AUTOLOAD tries to find Bugzilla::Bug::confess() when a bug method doesn't exist,Medium
Inactive Flag Types should not be a fatal error - Bugzilla has suffered an internal error.,Inactive Flag Types should not be a fatal error - Bugzilla has suffered an internal error.,High
Use of uninitialized value in pattern match (m//) at editusers.cgi line 270,Use of uninitialized value in pattern match (m//) at editusers.cgi line 270,Low
Add me to cc list feature is confusing,Add me to cc list feature is confusing,Medium
undefined value when creating a new user account,undefined value when creating a new user account,Low
checksetup does not properly add a short_desc index to old installations,checksetup does not properly add a short_desc index to old installations,Critical
profiles.disabledtext has its definition changed every time checksetup runs,profiles.disabledtext has its definition changed every time checksetup runs,High
We don't need an index on bugs.short_desc,We don't need an index on bugs.short_desc,Medium
"""How to Release Bugzilla"" docs recommend breaking people's LASTORDER cookies","""How to Release Bugzilla"" docs recommend breaking people's LASTORDER cookies",Low
checksetup problem adding indices,checksetup problem adding indices,Medium
Odd number of elements in anonymous hash in editusers.cgi,Odd number of elements in anonymous hash in editusers.cgi,Low
votes.cgi crashes if your vote is the one confirming a bug,votes.cgi crashes if your vote is the one confirming a bug,Medium
"CodeErrors print out a whole HTML page, even when we're not in USAGE_MODE_BROWSER","CodeErrors print out a whole HTML page, even when we're not in USAGE_MODE_BROWSER",Medium
Errors are always displayed in plain text,Errors are always displayed in plain text,High
userprefs.cgi mysteriously fails (Our template-toolkit requirement is too low),userprefs.cgi mysteriously fails (Our template-toolkit requirement is too low),High
"skins/.cvsignore should be in the CVS repo, not created by checksetup","skins/.cvsignore should be in the CVS repo, not created by checksetup",Medium
shutdownhtml will not work under mod_perl,shutdownhtml will not work under mod_perl,Medium
Cannot log in on a fresh installation,Cannot log in on a fresh installation,Critical
Warnings in the web server error log when no URL is given on bug creation,Warnings in the web server error log when no URL is given on bug creation,Low
Allow buidling the API documentation without the rest of the build environment,Allow buidling the API documentation without the rest of the build environment,Medium
"Changing a DB column type to ""serial"" is broken on postgre","Changing a DB column type to ""serial"" is broken on postgre",High
"""You are receiving this mail because"" messages cannot be localized","""You are receiving this mail because"" messages cannot be localized",Medium
account/prefs/footer.html.tmpl is dead code,account/prefs/footer.html.tmpl is dead code,Low
mod_perl configuration needs a DirectoryIndex statement,mod_perl configuration needs a DirectoryIndex statement,Medium
Hooks require Template Toolkit  2.12 but we only check for 2.10,Hooks require Template Toolkit  2.12 but we only check for 2.10,Medium
“I'm added to or removed from this capacity” user pref doesn't work for new bugs,“I'm added to or removed from this capacity” user pref doesn't work for new bugs,Medium
Public webdot server changed its IP address,Public webdot server changed its IP address,Medium
The confirmation page when deleting a user account who has entries in the bugs_activity table fails to notify the administrator correctly,The confirmation page when deleting a user account who has entries in the bugs_activity table fails to notify the administrator correctly,Medium
Sanity Check rescanallbugmail not working,Sanity Check rescanallbugmail not working,Medium
Rename BugMail::ProcessOneBug() as BugMail::Send,Rename BugMail::ProcessOneBug() as BugMail::Send,Low
"object => ""field values"" doesn't exist in user-error.html.tmpl","object => ""field values"" doesn't exist in user-error.html.tmpl",Medium
Checksetup needs Perl-LDAP for Net::LDAP module on Windows,Checksetup needs Perl-LDAP for Net::LDAP module on Windows,Medium
Release Notes For Bugzilla 2.22.1,Release Notes For Bugzilla 2.22.1,Critical
Release Notes For Bugzilla 2.18.6,Release Notes For Bugzilla 2.18.6,Critical
Release Notes For Bugzilla 2.20.3,Release Notes For Bugzilla 2.20.3,Critical
"""How to Release Bugzilla"" docs should include instructions to avoid bug 330313 to recur","""How to Release Bugzilla"" docs should include instructions to avoid bug 330313 to recur",Low
Changing multiple bugs fails,Changing multiple bugs fails,Medium
"Missing ""--do_not_change--"" option for custom select fields when changing several bugs at once","Missing ""--do_not_change--"" option for custom select fields when changing several bugs at once",High
Bad filtering of bug list names,Bad filtering of bug list names,Medium
"[Selenium] <name=""newqueryname"" ...> needs an ID","[Selenium] <name=""newqueryname"" ...> needs an ID",Low
[PostgreSQL] Crash if sharer_id is not an integer,[PostgreSQL] Crash if sharer_id is not an integer,Medium
Shared Queries don't work if usevisibiltygroups is off,Shared Queries don't work if usevisibiltygroups is off,High
[PostgreSQL] Crash when querying the DB,[PostgreSQL] Crash when querying the DB,High
group restriction isn't applied on bug creation,group restriction isn't applied on bug creation,Medium
Groups are out of order when sharing queries,Groups are out of order when sharing queries,Low
Bug::check_can_change_field() incorrectly updates $PrivilegesRequired,Bug::check_can_change_field() incorrectly updates $PrivilegesRequired,Medium
XML Output change to remove lots of excess whitespace,XML Output change to remove lots of excess whitespace,Medium
missing 'are' in email notification,missing 'are' in email notification,Low
Crash when calling showdependencytree.cgi with no bug ID,Crash when calling showdependencytree.cgi with no bug ID,Low
